country,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,vehicles,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt,power_index
Estonia,"$57,001,000,000 USD","$2,375,000,000 USD","584,958","7,700","230,000",400,"44,000",550,"Stock: 2			
Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (100.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",8,0,0,0,0,0,0,4,4,"Stock: 0				
Readiness: 0*","Stock: 2,579            	
Readiness: 1,805*","Stock: 48				
Readiness: 34*","Stock: 0				
Readiness: 0*","Stock: 6				
Readiness: 4*","$29,040,000,000 USD",2.3201
Israel,"$472,177,000,000 USD","$34,600,000,000 USD","3,949,099","169,500","465,000","89,000","526,000","19,500","Stock: 597			
Readiness: 478*","Stock: 45 (7.5%)

Readiness: 36*","Stock: 239 (40.0%)

Readiness: 191*","Stock: 14 (2.3%)

Readiness: 11*","Stock: 127 (21.3%)

Readiness: 102*","Stock: 19 (3.2%)

Readiness: 15*","Stock: 148 (24.8%)

Readiness: 118*","Stock: 48 (8.0%)

Readiness: 38*","Stock: 13 (2.2%)

Readiness: 10*",82,0,0,0,0,7,6,66,0,"Stock: 1,300				
Readiness: 1,040*","Stock: 62,380            	
Readiness: 49,904*","Stock: 323				
Readiness: 258*","Stock: 171				
Readiness: 137*","Stock: 228				
Readiness: 182*","$163,350,000,000 USD",0.2707
Benin,"$56,424,000,000 USD","$137,690,000 USD","5,584,880","4,750",0,300,"4,750",200,"Stock: 7			
Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (14.3%)

Readiness: 0*","Stock: 5 (71.4%)

Readiness: 2*","Stock: 1 (14.3%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",2,0,0,0,0,0,0,2,0,"Stock: 0				
Readiness: 0*","Stock: 92            	
Readiness: 41*","Stock: 0				
Readiness: 0*","Stock: 16				
Readiness: 7*","Stock: 0				
Readiness: 0*","$6,309,000,000 USD",3.8963
Slovenia,"$103,118,000,000 USD","$1,782,000,000 USD","1,006,989","7,000","26,000",615,"32,035",350,"Stock: 40			
Readiness: 28*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 5 (12.5%)

Readiness: 4*","Stock: 16 (40.0%)

Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 23 (57.5%)

Readiness: 16*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",3,0,0,0,0,0,0,3,0,"Stock: 54				
Readiness: 38*","Stock: 4,636            	
Readiness: 3,245*","Stock: 17				
Readiness: 12*","Stock: 18				
Readiness: 13*","Stock: 0				
Readiness: 0*","$60,500,000,000 USD",1.9404
Greece,"$192,205,000,000 USD","$8,242,150,000 USD","4,916,713","142,700","221,350","42,500","200,000","30,000","Stock: 560			
Readiness: 392*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 178 (31.8%)

Readiness: 125*","Stock: 17 (3.0%)

Readiness: 12*","Stock: 285 (50.9%)

Readiness: 200*","Stock: 8 (1.4%)

Readiness: 6*","Stock: 86 (15.4%)

Readiness: 60*","Stock: 28 (5.0%)

Readiness: 20*","Stock: 0 (0.0%)

Readiness: 0*",186,0,0,0,14,0,9,45,3,"Stock: 1,344				
Readiness: 874*","Stock: 56,416            	
Readiness: 36,670*","Stock: 589				
Readiness: 383*","Stock: 698				
Readiness: 454*","Stock: 152				
Readiness: 99*","$605,000,000,000 USD",0.5484
Serbia,"$177,093,000,000 USD","$2,770,000,000 USD","3,259,584","22,500","2,000","3,000","13,200",0,"Stock: 115			
Readiness: 69*","Stock: 17 (14.8%)

Readiness: 10*","Stock: 11 (9.6%)

Readiness: 7*","Stock: 3 (2.6%)

Readiness: 2*","Stock: 51 (44.3%)

Readiness: 31*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 33 (28.7%)

Readiness: 20*","Stock: 4 (3.5%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 242				
Readiness: 145*","Stock: 7,190            	
Readiness: 4,314*","Stock: 96				
Readiness: 58*","Stock: 150				
Readiness: 90*","Stock: 73				
Readiness: 44*","$21,726,000,000 USD",1.2938
Moldova,"$39,342,000,000 USD","$114,114,000 USD","2,159,717","6,500","2,000",700,"4,000",0,"Stock: 3			
Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (33.3%)

Readiness: 0*","Stock: 2 (66.7%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 0				
Readiness: 0*","Stock: 1,598            	
Readiness: 799*","Stock: 4				
Readiness: 2*","Stock: 67				
Readiness: 34*","Stock: 11				
Readiness: 6*","$2,637,000,000 USD",3.6225
Uruguay,"$108,502,000,000 USD","$1,903,440,000 USD","1,575,652","24,000",0,"2,850","15,450","5,700","Stock: 43			
Readiness: 24*","Stock: 6 (14.0%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (14.0%)

Readiness: 3*","Stock: 12 (27.9%)

Readiness: 7*","Stock: 5 (11.6%)

Readiness: 3*","Stock: 12 (27.9%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (4.7%)

Readiness: 1*",16,0,0,0,0,0,0,5,2,"Stock: 62				
Readiness: 37*","Stock: 5,968            	
Readiness: 3,581*","Stock: 16				
Readiness: 10*","Stock: 83				
Readiness: 50*","Stock: 4				
Readiness: 2*","$54,450,000,000 USD",2.1537
South Africa,"$870,420,000,000 USD","$2,877,000,000 USD","27,803,618","68,731","29,350","13,815","53,872","7,890","Stock: 181			
Readiness: 118*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (1.1%)

Readiness: 1*","Stock: 11 (6.1%)

Readiness: 7*","Stock: 87 (48.1%)

Readiness: 57*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 81 (44.8%)

Readiness: 53*","Stock: 10 (5.5%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*",63,0,0,0,4,0,3,42,4,"Stock: 248				
Readiness: 161*","Stock: 23,024            	
Readiness: 14,966*","Stock: 52				
Readiness: 34*","Stock: 434				
Readiness: 282*","Stock: 201				
Readiness: 131*","$93,879,000,000 USD",0.6843
Sweden,"$668,628,000,000 USD","$15,900,000,000 USD","4,235,934","25,600","34,000","8,255","15,300","2,100","Stock: 172			
Readiness: 129*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 73 (42.4%)

Readiness: 55*","Stock: 6 (3.5%)

Readiness: 5*","Stock: 53 (30.8%)

Readiness: 40*","Stock: 3 (1.7%)

Readiness: 2*","Stock: 36 (20.9%)

Readiness: 27*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (0.6%)

Readiness: 1*",279,0,0,0,0,7,4,116,8,"Stock: 110				
Readiness: 83*","Stock: 27,576            	
Readiness: 20,682*","Stock: 24				
Readiness: 18*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","$1,102,693,570,000 USD",0.4834
Iceland,"$26,561,000,000 USD","$500,000,000 USD","83,728",0,0,0,0,0,"Stock: 0			
Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",0,0,0,0,0,0,0,0,0,"Stock: 0				
Readiness: 0*","Stock: 350            	
Readiness: 350*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","$24,200,000,000 USD",3.4013
Ghana,"$243,124,000,000 USD","$954,423,756 USD","14,873,310","15,500",0,"1,860","55,000","1,200","Stock: 18			
Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (11.1%)

Readiness: 1*","Stock: 9 (50.0%)

Readiness: 5*","Stock: 2 (11.1%)

Readiness: 1*","Stock: 5 (27.8%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",20,0,0,0,0,0,0,20,0,"Stock: 0				
Readiness: 0*","Stock: 3,648            	
Readiness: 2,189*","Stock: 0				
Readiness: 0*","Stock: 6				
Readiness: 4*","Stock: 6				
Readiness: 4*","$29,241,000,000 USD",2.4566
Iraq,"$585,887,000,000 USD","$8,000,000,000 USD","17,675,043","193,000",0,"5,000","180,000","3,000","Stock: 360			
Readiness: 216*","Stock: 36 (10.0%)

Readiness: 22*","Stock: 26 (7.2%)

Readiness: 16*","Stock: 15 (4.2%)

Readiness: 9*","Stock: 183 (50.8%)

Readiness: 110*","Stock: 17 (4.7%)

Readiness: 10*","Stock: 111 (30.8%)

Readiness: 67*","Stock: 39 (10.8%)

Readiness: 23*","Stock: 0 (0.0%)

Readiness: 0*",67,0,0,0,0,1,0,55,0,"Stock: 1,188				
Readiness: 713*","Stock: 37,496            	
Readiness: 22,498*","Stock: 434				
Readiness: 260*","Stock: 610				
Readiness: 366*","Stock: 572				
Readiness: 343*","$15,580,000,000 USD",0.8115
Lebanon,"$65,415,000,000 USD","$800,000,000 USD","2,092,148","80,000","15,000","2,500","99,000","1,500","Stock: 80			
Readiness: 40*","Stock: 9 (11.3%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 68 (85.0%)

Readiness: 34*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 9 (11.3%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",48,0,0,0,0,0,0,42,0,"Stock: 334				
Readiness: 184*","Stock: 6,912            	
Readiness: 3,802*","Stock: 12				
Readiness: 7*","Stock: 350				
Readiness: 193*","Stock: 11				
Readiness: 6*","$41,619,000,000 USD",2.6521
Oman,"$193,591,000,000 USD","$8,364,000,000 USD","1,482,757","100,000",0,"6,145","100,000","4,200","Stock: 128			
Readiness: 70*","Stock: 10 (7.8%)

Readiness: 6*","Stock: 29 (22.7%)

Readiness: 16*","Stock: 9 (7.0%)

Readiness: 5*","Stock: 31 (24.2%)

Readiness: 17*","Stock: 4 (3.1%)

Readiness: 2*","Stock: 45 (35.2%)

Readiness: 25*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",17,0,0,0,0,5,0,8,0,"Stock: 264				
Readiness: 145*","Stock: 11,380            	
Readiness: 6,259*","Stock: 24				
Readiness: 13*","Stock: 144				
Readiness: 79*","Stock: 0				
Readiness: 0*","$55,986,700,000 USD",1.8823
Brazil,"$4,165,000,000,000 USD","$26,400,000,000 USD","112,226,271","376,000","1,340,000","81,000","1,212,217","80,505","Stock: 495			
Readiness: 322*","Stock: 30 (6.1%)

Readiness: 20*","Stock: 44 (8.9%)

Readiness: 29*","Stock: 107 (21.6%)

Readiness: 70*","Stock: 186 (37.6%)

Readiness: 121*","Stock: 25 (5.1%)

Readiness: 16*","Stock: 124 (25.1%)

Readiness: 81*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",69,0,1,0,8,2,6,22,4,"Stock: 294				
Readiness: 191*","Stock: 22,464            	
Readiness: 14,602*","Stock: 149				
Readiness: 97*","Stock: 412				
Readiness: 268*","Stock: 82				
Readiness: 53*","$198,582,000,000 USD",0.2374
Argentina,"$1,213,000,000,000 USD","$993,919,790 USD","20,677,529","108,000","12,370","14,000","108,000","18,370","Stock: 241			
Readiness: 133*","Stock: 11 (4.6%)

Readiness: 6*","Stock: 23 (9.5%)

Readiness: 13*","Stock: 25 (10.4%)

Readiness: 14*","Stock: 96 (39.8%)

Readiness: 53*","Stock: 13 (5.4%)

Readiness: 7*","Stock: 71 (29.5%)

Readiness: 39*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (0.8%)

Readiness: 1*",42,0,0,3,0,6,2,13,0,"Stock: 362				
Readiness: 199*","Stock: 22,432            	
Readiness: 12,338*","Stock: 20				
Readiness: 11*","Stock: 172				
Readiness: 95*","Stock: 27				
Readiness: 15*","$74,362,000,000 USD",0.5983
Austria,"$581,131,000,000 USD","$6,103,900,800 USD","4,035,592","25,000","125,600","4,300","141,000",0,"Stock: 90			
Readiness: 68*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 15 (16.7%)

Readiness: 11*","Stock: 11 (12.2%)

Readiness: 8*","Stock: 41 (45.6%)

Readiness: 31*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 23 (25.6%)

Readiness: 17*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 56				
Readiness: 42*","Stock: 5,160            	
Readiness: 3,870*","Stock: 30				
Readiness: 23*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","$693,000,000,000 USD",1.3759
Dominican Republic,"$276,884,000,000 USD","$903,000,000 USD","4,975,294","89,000","189,000","6,730","28,750","13,200","Stock: 80			
Readiness: 40*","Stock: 8 (10.0%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 11 (13.8%)

Readiness: 6*","Stock: 49 (61.3%)

Readiness: 25*","Stock: 1 (1.3%)

Readiness: 1*","Stock: 17 (21.3%)

Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",34,0,0,0,0,0,0,14,0,"Stock: 6				
Readiness: 3*","Stock: 930            	
Readiness: 465*","Stock: 0				
Readiness: 0*","Stock: 14				
Readiness: 7*","Stock: 0				
Readiness: 0*","$35,044,000,000 USD",2.5853
Ecuador,"$252,728,000,000 USD","$2,963,400,000 USD","8,422,593","41,250","118,000","6,200","25,650","9,400","Stock: 99			
Readiness: 64*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 20 (20.2%)

Readiness: 13*","Stock: 43 (43.4%)

Readiness: 28*","Stock: 8 (8.1%)

Readiness: 5*","Stock: 34 (34.3%)

Readiness: 22*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",30,0,0,0,2,6,2,5,0,"Stock: 202				
Readiness: 121*","Stock: 5,322            	
Readiness: 3,193*","Stock: 5				
Readiness: 3*","Stock: 106				
Readiness: 64*","Stock: 24				
Readiness: 14*","$39,658,000,000 USD",1.4479
Gabon,"$48,045,000,000 USD","$340,950,000 USD","932,940","5,000",0,900,"4,500",400,"Stock: 25			
Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (24.0%)

Readiness: 3*","Stock: 3 (12.0%)

Readiness: 1*","Stock: 16 (64.0%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",5,0,0,0,0,0,0,4,0,"Stock: 0				
Readiness: 0*","Stock: 424            	
Readiness: 233*","Stock: 0				
Readiness: 0*","Stock: 4				
Readiness: 2*","Stock: 28				
Readiness: 15*","$6,442,000,000 USD",3.0432
Spain,"$2,361,000,000,000 USD","$39,000,676,350 USD","21,748,999","121,802","24,033","23,000","85,978","20,840","Stock: 440			
Readiness: 286*","Stock: 12 (2.7%)

Readiness: 8*","Stock: 136 (30.9%)

Readiness: 88*","Stock: 51 (11.6%)

Readiness: 33*","Stock: 169 (38.4%)

Readiness: 110*","Stock: 8 (1.8%)

Readiness: 5*","Stock: 108 (24.5%)

Readiness: 70*","Stock: 17 (3.9%)

Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*",175,1,0,0,11,0,2,112,6,"Stock: 298				
Readiness: 209*","Stock: 49,324            	
Readiness: 34,527*","Stock: 96				
Readiness: 67*","Stock: 188				
Readiness: 132*","Stock: 0				
Readiness: 0*","$2,830,012,130,000 USD",0.3247
Eritrea,"$2,534,000,000 USD","$219,000,000 USD","2,220,385","350,000","680,000",250,"275,000","1,100","Stock: 20			
Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (5.0%)

Readiness: 0*","Stock: 5 (25.0%)

Readiness: 2*","Stock: 13 (65.0%)

Readiness: 5*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (5.0%)

Readiness: 0*","Stock: 6 (30.0%)

Readiness: 2*","Stock: 0 (0.0%)

Readiness: 0*",23,0,0,0,0,0,0,18,0,"Stock: 148				
Readiness: 67*","Stock: 1,040            	
Readiness: 468*","Stock: 45				
Readiness: 20*","Stock: 89				
Readiness: 40*","Stock: 44				
Readiness: 20*","$461,376,000 USD",2.6841
Uganda,"$144,137,000,000 USD","$1,510,000,000 USD","16,756,234","45,000",0,"1,200","43,800",0,"Stock: 51			
Readiness: 26*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (11.8%)

Readiness: 3*","Stock: 3 (5.9%)

Readiness: 2*","Stock: 30 (58.8%)

Readiness: 15*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 12 (23.5%)

Readiness: 6*","Stock: 6 (11.8%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 259				
Readiness: 142*","Stock: 9,702            	
Readiness: 5,336*","Stock: 6				
Readiness: 3*","Stock: 26				
Readiness: 14*","Stock: 12				
Readiness: 7*","$10,469,000,000 USD",2.3252
Turkmenistan,"$134,555,000,000 USD","$1,463,000,000 USD","2,768,681","36,500",0,"3,000","42,760","2,000","Stock: 91			
Readiness: 55*","Stock: 27 (29.7%)

Readiness: 16*","Stock: 22 (24.2%)

Readiness: 13*","Stock: 5 (5.5%)

Readiness: 3*","Stock: 26 (28.6%)

Readiness: 16*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 11 (12.1%)

Readiness: 7*","Stock: 10 (11.0%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*",16,0,0,0,0,0,0,16,0,"Stock: 654				
Readiness: 392*","Stock: 11,588            	
Readiness: 6,953*","Stock: 73				
Readiness: 44*","Stock: 457				
Readiness: 274*","Stock: 164				
Readiness: 98*","$3,696,000,000 USD",1.7459
Zimbabwe,"$57,391,000,000 USD","$1,976,800,000 USD","6,517,134","29,000",0,"5,000","25,000",0,"Stock: 80			
Readiness: 40*","Stock: 9 (11.3%)

Readiness: 5*","Stock: 9 (11.3%)

Readiness: 5*","Stock: 14 (17.5%)

Readiness: 7*","Stock: 28 (35.0%)

Readiness: 14*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 20 (25.0%)

Readiness: 10*","Stock: 6 (7.5%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 60				
Readiness: 33*","Stock: 1,248            	
Readiness: 686*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","$6,671,000,000 USD",2.2801
El Salvador,"$73,961,000,000 USD","$1,037,200,000 USD","3,181,777","25,000",0,"2,000","20,500","2,000","Stock: 51			
Readiness: 28*","Stock: 15 (29.4%)

Readiness: 8*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (5.9%)

Readiness: 2*","Stock: 28 (54.9%)

Readiness: 15*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 10 (19.6%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",13,0,0,0,0,0,0,8,0,"Stock: 0				
Readiness: 0*","Stock: 2,144            	
Readiness: 1,394*","Stock: 0				
Readiness: 0*","Stock: 76				
Readiness: 49*","Stock: 0				
Readiness: 0*","$12,668,000,000 USD",2.9973
Belgium,"$749,229,000,000 USD","$14,900,000,000 USD","4,910,830","26,390","6,600","5,700","11,547","1,355","Stock: 104			
Readiness: 73*","Stock: 12 (11.5%)

Readiness: 8*","Stock: 44 (42.3%)

Readiness: 31*","Stock: 7 (6.7%)

Readiness: 5*","Stock: 14 (13.5%)

Readiness: 10*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 27 (26.0%)

Readiness: 19*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",9,0,0,0,2,0,0,2,5,"Stock: 0				
Readiness: 0*","Stock: 3,588            	
Readiness: 2,691*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","$1,594,190,730,000 USD",1.2201
Sudan,"$94,420,000,000 USD","$394,700,000 USD","26,747,657","300,000","200,000","13,000","485,500","2,000","Stock: 183			
Readiness: 92*","Stock: 36 (19.7%)

Readiness: 18*","Stock: 37 (20.2%)

Readiness: 19*","Stock: 13 (7.1%)

Readiness: 7*","Stock: 64 (35.0%)

Readiness: 32*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 33 (18.0%)

Readiness: 17*","Stock: 35 (19.1%)

Readiness: 18*","Stock: 0 (0.0%)

Readiness: 0*",10,0,0,0,0,0,0,10,0,"Stock: 1,055				
Readiness: 580*","Stock: 8,890            	
Readiness: 4,890*","Stock: 100				
Readiness: 55*","Stock: 1,150				
Readiness: 633*","Stock: 800				
Readiness: 440*","$21,650,000,000 USD",1.3563
South Sudan,"$6,752,000,000 USD","$30,700,000 USD","6,351,857","185,000",0,230,"184,120",325,"Stock: 19			
Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 4 (21.1%)

Readiness: 2*","Stock: 15 (78.9%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (31.6%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 122				
Readiness: 67*","Stock: 2,550            	
Readiness: 1,403*","Stock: 24				
Readiness: 13*","Stock: 0				
Readiness: 0*","Stock: 15				
Readiness: 8*","$2,722,500,000 USD",2.4645
Morocco,"$350,594,000,000 USD","$16,100,000,000 USD","17,946,041","400,000","250,000","13,000","500,000","9,300","Stock: 271			
Readiness: 163*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 84 (31.0%)

Readiness: 50*","Stock: 31 (11.4%)

Readiness: 19*","Stock: 73 (26.9%)

Readiness: 44*","Stock: 4 (1.5%)

Readiness: 2*","Stock: 77 (28.4%)

Readiness: 46*","Stock: 6 (2.2%)

Readiness: 4*","Stock: 2 (0.7%)

Readiness: 1*",100,0,0,0,6,1,0,84,0,"Stock: 1,346				
Readiness: 808*","Stock: 17,594            	
Readiness: 10,556*","Stock: 544				
Readiness: 326*","Stock: 188				
Readiness: 113*","Stock: 185				
Readiness: 111*","$42,262,000,000 USD",1.0368
Beliz,"$5,538,000,000 USD","$34,400,000 USD","158,000","2,000",850,60,"2,850",0,"Stock: 3			
Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (33.3%)

Readiness: 0*","Stock: 1 (33.3%)

Readiness: 0*","Stock: 1 (33.3%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",15,0,0,0,0,0,0,15,0,"Stock: 0				
Readiness: 0*","Stock: 164            	
Readiness: 82*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","$1,235,000,000 USD",4.3602
Suriname,"$12,316,000,000 USD","$58,440,000 USD","142,287","2,500",0,150,"1,000",250,"Stock: 3			
Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 3 (100.0%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",17,0,0,0,0,0,0,17,0,"Stock: 0				
Readiness: 0*","Stock: 1,250            	
Readiness: 625*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","$2,645,000,000 USD",4.0538
Pakistan,"$1,390,000,000,000 USD","$9,102,115,350 USD","108,516,336","660,000","550,000","78,000","1,311,500","57,500","Stock: 1,397			
Readiness: 908*","Stock: 90 (6.4%)

Readiness: 59*","Stock: 331 (23.7%)

Readiness: 215*","Stock: 63 (4.5%)

Readiness: 41*","Stock: 379 (27.1%)

Readiness: 246*","Stock: 27 (1.9%)

Readiness: 18*","Stock: 563 (40.3%)

Readiness: 366*","Stock: 55 (3.9%)

Readiness: 36*","Stock: 4 (0.3%)

Readiness: 3*",120,0,0,0,9,6,8,79,3,"Stock: 2,677				
Readiness: 1,740*","Stock: 59,044            	
Readiness: 38,379*","Stock: 662				
Readiness: 430*","Stock: 2,629				
Readiness: 1,709*","Stock: 652				
Readiness: 424*","$89,148,000,000 USD",0.2626
Liberia,"$9,308,000,000 USD","$20,700,000 USD","2,392,390","2,100",0,0,"2,100",300,"Stock: 0			
Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",6,0,0,0,0,0,0,6,0,"Stock: 0				
Readiness: 0*","Stock: 550            	
Readiness: 248*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","$1,335,000,000 USD",3.9275
Tanzania,"$246,706,000,000 USD","$1,476,113,361 USD","12,143,182","25,000",0,"1,825","21,975","1,200","Stock: 38			
Readiness: 17*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 11 (28.9%)

Readiness: 5*","Stock: 6 (15.8%)

Readiness: 3*","Stock: 15 (39.5%)

Readiness: 7*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 6 (15.8%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",12,0,0,0,0,0,0,10,0,"Stock: 200				
Readiness: 100*","Stock: 8,408            	
Readiness: 4,204*","Stock: 0				
Readiness: 0*","Stock: 205				
Readiness: 103*","Stock: 70				
Readiness: 35*","$17,513,000,000 USD",1.9111
